order_ID,Date,Customer_Age,Gender,Country,Category,Unit_Price,Quantity,Discount,Payment_Method,Order_Status,Customer_Rating,Revenue
ORD-10057,2022-01-20 00:00:00,64.0,,India,Sports,37.29,8,0.24,PayPal,Completed,4.0,226.72
ORD-10224,2022-03-16 16:00:00,54.0,Female,UK,Home & Garden,83.11,1,0.01,Debit Card,Pending,5.0,82.28
ORD-10292,2022-04-08 08:00:00,69.0,Other,USA,home & garden,376.19,1,0.32,Credit Card,Completed,4.0,255.81
ORD-10260,2022-03-28 16:00:00,46.0,Male,France,Toys,69.92,6,0.06,,Refunded,3.0,394.35
ORD-10390,2022-05-11 00:00:00,69.0,Other,Brazil,Toys,167.09,4,0.02,Credit Card,Refunded,,654.99
ORD-10817,2022-09-30 08:00:00,66.0,Other,India,Food & Beverage,56.23,3,0.27,Crypto,Completed,5.0,123.14
ORD-10377,2022-05-06 16:00:00,46.0,Female,India,Books,14.27,8,0.12,Bank Transfer,Completed,4.0,100.46
ORD-10342,2022-04-25 00:00:00,24.0,Male,USA,Food & Beverage,144.99,12,0.34,,Completed,4.0,1148.32
ORD-10647,2022-08-04 16:00:00,69.0,,Canada,Food & Beverage,40.3,3,0.07,Debit Card,Pending,4.0,112.44
ORD-10386,2022-05-09 16:00:00,63.0,Female,India,Clothing,67.78,8,0.11,Bank Transfer,Completed,3.0,482.59
ORD-10129,2022-02-13 00:00:00,40.0,Male,France,clothing,179.76,7,0.18,,Completed,4.0,1031.82
ORD-10141,2022-02-17 00:00:00,64.0,Female,UK,Beauty,12.27,9,0.17,Credit Card,Completed,5.0,91.66
ORD-10565,2022-07-08 08:00:00,29.0,Female,UK,Toys,57.2,11,0.16,Crypto,Cancelled,2.0,528.53
ORD-10669,2022-08-12 00:00:00,46.0,Male,Brazil,Toys,97.66,13,0.13,Bank Transfer,Completed,1.0,1104.53
ORD-10542,2022-06-30 16:00:00,49.0,Other,France,Toys,15.61,8,0.27,Crypto,Completed,4.0,91.16
ORD-10396,2022-05-13 00:00:00,35.0,Other,UK,Books,217.84,9,0.08,Bank Transfer,Completed,5.0,1803.72
ORD-10685,2022-08-17 08:00:00,26.0,Female,USA,Clothing,109.99,4,0.31,Bank Transfer,Completed,1.0,303.57
ORD-10083,2022-01-28 16:00:00,32.0,Female,UK,Sports,24.89,12,0.39,Credit Card,Pending,3.0,182.19
ORD-10154,2022-02-21 08:00:00,59.0,Female,Germany,Food & Beverage,7.79,13,0.38,Credit Card,Completed,3.0,62.79
ORD-10225,2022-03-17 00:00:00,66.0,,India,Home & Garden,56.43,10,0.07,Credit Card,Completed,5.0,524.8
ORD-10285,2022-04-06 00:00:00,,Female,India,Home & Garden,91.7,6,0.12,Bank Transfer,Completed,5.0,484.18
ORD-10063,2022-01-22 00:00:00,31.0,Male,Brazil,Toys,23.41,14,0.12,Crypto,Completed,5.0,288.41
ORD-10376,2022-05-06 08:00:00,47.0,Male,USA,beauty,266.87,3,0.22,,Completed,,624.48
ORD-10318,2022-04-17 00:00:00,57.0,Male,USA,Beauty,8.69,5,0.29,Credit Card,Completed,5.0,30.85
ORD-10681,2022-08-16 00:00:00,63.0,Other,USA,Home & Garden,229.83,5,0.26,Credit Card,Completed,4.0,850.37
ORD-11142,2023-01-16 16:00:00,52.0,Male,UK,Clothing,42.63,9,0.33,Debit Card,Cancelled,2.0,257.06
ORD-10234,2022-03-20 00:00:00,50.0,Other,Brazil,Food & Beverage,5.19,2,0.11,Bank Transfer,Completed,4.0,9.24
ORD-10953,2022-11-14 16:00:00,63.0,Female,USA,Home & Garden,41.31,6,0.3,,Completed,5.0,173.5
ORD-10852,2022-10-12 00:00:00,57.0,Female,USA,Electronics,86.77,13,0.14,Credit Card,Completed,2.0,970.09
ORD-11159,2023-01-22 08:00:00,43.0,Female,Australia,Sports,126.28,6,0.3,Crypto,Completed,4.0,530.38
ORD-10982,2022-11-24 08:00:00,40.0,Other,France,ELECTRONICS,64.64,1,0.22,PayPal,Completed,5.0,50.42
ORD-10124,2022-02-11 08:00:00,25.0,,France,Home & Garden,22.46,10,0.28,Crypto,Completed,2.0,161.71
ORD-10259,2022-03-28 08:00:00,33.0,Other,USA,Clothing,592.51,4,0.26,Debit Card,Completed,5.0,1753.83
ORD-10805,2022-09-26 08:00:00,50.0,Male,Brazil,Food & Beverage,28.62,12,0.37,PayPal,Completed,5.0,216.37
ORD-11128,2023-01-12 00:00:00,,Male,Germany,Clothing,19.03,4,0.21,Crypto,Completed,3.0,60.13
ORD-11019,2022-12-06 16:00:00,27.0,Other,USA,Clothing,233.94,1,0.07,Debit Card,Pending,3.0,217.56
ORD-10587,2022-07-15 16:00:00,43.0,Other,Germany,Food & Beverage,48.02,9,0.06,Debit Card,Pending,5.0,406.25
ORD-10559,2022-07-06 08:00:00,52.0,Other,UK,Toys,8.33,3,0.13,Credit Card,Cancelled,1.0,21.74
ORD-10480,2022-06-10 00:00:00,,,India,Food & Beverage,56.02,5,0.08,Credit Card,Completed,5.0,257.69
ORD-11004,2022-12-01 16:00:00,54.0,Female,USA,sports,60.35,5,0.12,Credit Card,Completed,1.0,265.54
ORD-10086,2022-01-29 16:00:00,40.0,Female,India,Toys,301.86,10,0.36,Debit Card,Completed,5.0,1931.9
ORD-10574,2022-07-11 08:00:00,30.0,Male,USA,Beauty,6.69,9,0.18,PayPal,Refunded,4.0,49.37
ORD-10463,2022-06-04 08:00:00,22.0,Other,UK,SPORTS,167.03,4,0.04,PayPal,Pending,3.0,641.4
ORD-11143,2023-01-17 00:00:00,18.0,Other,Australia,Clothing,66.9,12,0.23,Bank Transfer,Pending,3.0,618.16
ORD-10536,2022-06-28 16:00:00,53.0,Female,Brazil,Electronics,22.94,9,0.26,Debit Card,Completed,3.0,152.78
ORD-10080,2022-01-27 16:00:00,31.0,Male,Canada,Clothing,34.86,7,0.0,Crypto,Pending,5.0,244.02
ORD-11146,2023-01-18 00:00:00,46.0,Other,France,Beauty,151.59,1,0.16,PayPal,Completed,5.0,127.34
ORD-11126,2023-01-11 08:00:00,32.0,,Australia,Home & Garden,172.74,6,0.05,Credit Card,Cancelled,4.0,984.62
ORD-10152,2022-02-20 16:00:00,32.0,,Canada,Books,144.49,1,0.38,Bank Transfer,Cancelled,2.0,89.58
ORD-11085,2022-12-28 16:00:00,61.0,Male,Germany,Food & Beverage,68.9,8,0.1,Credit Card,Refunded,3.0,496.08
ORD-10042,2022-01-15 00:00:00,68.0,Other,India,Home & Garden,8246.684505144163,4,0.15,,Completed,3.0,28038.73
ORD-10116,2022-02-08 16:00:00,50.0,Other,UK,Toys,64.82,5,0.16,Debit Card,Completed,1.0,272.24
ORD-11131,2023-01-13 00:00:00,48.0,Male,Australia,Food & Beverage,113.29,7,0.12,Debit Card,Completed,3.0,697.87
ORD-10721,2022-08-29 08:00:00,37.0,Female,France,beauty,173.23,2,0.03,Debit Card,Completed,4.0,336.07
ORD-10669,2022-08-12 00:00:00,46.0,Male,Brazil,Toys,97.66,13,0.13,Bank Transfer,Completed,1.0,1104.53
ORD-10236,2022-03-20 16:00:00,36.0,Male,India,Home & Garden,5.42,3,0.36,Debit Card,Completed,3.0,10.41
ORD-11064,2022-12-21 16:00:00,,Male,UK,Beauty,5.84,2,0.37,Debit Card,Completed,2.0,7.36
ORD-11061,2022-12-20 16:00:00,57.0,Female,Brazil,BOOKS,25.69,3,0.01,Credit Card,Pending,2.0,76.3
ORD-10233,2022-03-19 16:00:00,49.0,Female,UK,Sports,11.48,11,0.3,Debit Card,Completed,5.0,88.4
ORD-10959,2022-11-16 16:00:00,44.0,Male,UK,Clothing,117.28,11,0.23,Credit Card,Completed,3.0,993.36
ORD-11099,2023-01-02 08:00:00,31.0,Male,UK,Electronics,85.86,13,0.2,Credit Card,Completed,4.0,892.94
ORD-10770,2022-09-14 16:00:00,25.0,Other,Brazil,Clothing,93.72,4,0.3,Debit Card,Completed,5.0,262.42
ORD-10305,2022-04-12 16:00:00,65.0,Male,Canada,Home & Garden,45.64,7,0.02,Credit Card,Completed,4.0,313.09
ORD-11002,2022-12-01 00:00:00,32.0,Male,Brazil,Food & Beverage,29.72,10,0.37,Debit Card,Completed,4.0,187.24
ORD-10581,2022-07-13 16:00:00,52.0,,France,Toys,24.93,11,0.05,,Refunded,4.0,260.52
ORD-11161,2023-01-23 00:00:00,42.0,Other,Brazil,Beauty,16.86,12,0.26,Credit Card,Completed,5.0,149.72
ORD-10262,2022-03-29 08:00:00,37.0,Other,USA,Beauty,35.02,2,0.22,Crypto,Cancelled,,54.63
ORD-10088,2022-01-30 08:00:00,,Female,Australia,Beauty,70.19,10,0.31,PayPal,Completed,5.0,484.31
ORD-10053,2022-01-18 16:00:00,43.0,,Brazil,Beauty,26.53,7,0.17,Crypto,Completed,4.0,154.14
ORD-10594,2022-07-18 00:00:00,21.0,Male,Canada,Food & Beverage,62.72,3,0.04,Debit Card,Pending,3.0,180.63
ORD-10211,2022-03-12 08:00:00,49.0,Other,USA,Clothing,80.41,9,0.14,PayPal,Completed,4.0,622.37
ORD-10935,2022-11-08 16:00:00,46.0,Other,India,Food & Beverage,249.26,8,0.34,Credit Card,Completed,3.0,1316.09
ORD-10172,2022-02-27 08:00:00,30.0,Other,USA,Toys,46.21,5,0.3,PayPal,Completed,4.0,161.73
ORD-11049,2022-12-16 16:00:00,,Male,India,Sports,233.22,6,0.09,Credit Card,Completed,3.0,1273.38
ORD-10803,2022-09-25 16:00:00,62.0,Female,France,Home & Garden,122.55,4,0.24,Bank Transfer,Pending,4.0,372.55
ORD-10167,2022-02-25 16:00:00,62.0,Female,India,Toys,21.08,14,0.36,PayPal,Cancelled,5.0,188.88
ORD-10017,2022-01-06 16:00:00,,Female,India,Electronics,60.82,10,0.15,Bank Transfer,Completed,2.0,516.97
ORD-10076,2022-01-26 08:00:00,61.0,Male,UK,Food & Beverage,27.83,10,0.31,Credit Card,Completed,1.0,192.03
ORD-10300,2022-04-11 00:00:00,49.0,Female,Germany,Home & Garden,12.42,4,0.28,PayPal,Completed,4.0,35.77
ORD-10408,2022-05-17 00:00:00,40.0,Male,USA,Books,5.09,12,0.05,PayPal,Completed,5.0,58.03
ORD-10271,2022-04-01 08:00:00,69.0,Male,India,Sports,53.58,6,0.02,Credit Card,Refunded,4.0,315.05
ORD-10774,2022-09-16 00:00:00,25.0,Male,Brazil,Clothing,12.51,7,0.1,Debit Card,Refunded,5.0,78.81
ORD-10065,2022-01-22 16:00:00,53.0,Female,France,Sports,79.05,12,0.31,PayPal,Cancelled,5.0,654.53
ORD-10389,2022-05-10 16:00:00,,Other,USA,Beauty,63.93,3,0.13,Crypto,Pending,,166.86
ORD-10002,2022-01-01 16:00:00,46.0,Other,Canada,Clothing,73.11,6,0.39,Debit Card,Cancelled,5.0,267.58
ORD-11069,2022-12-23 08:00:00,45.0,Male,Australia,Books,57.05,10,0.34,Bank Transfer,Cancelled,3.0,376.53
ORD-10319,2022-04-17 08:00:00,37.0,Female,France,Food & Beverage,14.27,3,0.18,Crypto,Completed,4.0,35.1
ORD-10107,2022-02-05 16:00:00,61.0,Female,Australia,Clothing,57.48,11,0.09,Bank Transfer,Completed,5.0,575.37
ORD-10847,2022-10-10 08:00:00,62.0,Male,Australia,Home & Garden,81.81,2,0.23,Credit Card,Completed,3.0,125.99
ORD-10711,2022-08-26 00:00:00,44.0,Other,India,Toys,405.89,4,0.29,Bank Transfer,Refunded,,1152.73
ORD-11041,2022-12-14 00:00:00,51.0,Female,India,Beauty,134.61,8,0.11,Debit Card,Completed,4.0,958.42
ORD-10742,2022-09-05 08:00:00,38.0,Female,France,Books,67.53,5,0.3,Debit Card,Refunded,4.0,236.35
ORD-10606,2022-07-22 00:00:00,41.0,Female,Germany,home & garden,55.16,8,0.17,Credit Card,Completed,5.0,366.26
ORD-10547,2022-07-02 08:00:00,33.0,Female,Canada,toys,33.4,9,0.12,Crypto,Completed,2.0,264.53
ORD-10808,2022-09-27 08:00:00,49.0,Female,UK,ELECTRONICS,157.4,4,0.08,Credit Card,Pending,5.0,579.23
ORD-11185,2023-01-31 00:00:00,57.0,Other,Canada,Food & Beverage,114.61,5,0.19,Credit Card,Refunded,5.0,464.17
ORD-10915,2022-11-02 00:00:00,60.0,Male,Brazil,Clothing,65.83,1,0.23,Debit Card,Cancelled,5.0,50.69
ORD-10860,2022-10-14 16:00:00,51.0,Female,India,Toys,43.05,5,0.26,Debit Card,Cancelled,4.0,159.28
ORD-10824,2022-10-02 16:00:00,38.0,Male,UK,Clothing,28.75,6,0.28,Credit Card,Completed,3.0,124.2
ORD-10812,2022-09-28 16:00:00,38.0,Other,France,Toys,17.97,5,0.32,Debit Card,Completed,4.0,61.1
ORD-10670,2022-08-12 08:00:00,60.0,Female,Brazil,Toys,6.4,7,0.09,PayPal,Cancelled,4.0,40.77
ORD-10837,2022-10-07 00:00:00,27.0,Male,Brazil,Sports,78.95,10,0.31,Credit Card,Cancelled,5.0,544.76
ORD-10294,2022-04-09 00:00:00,19.0,Male,Australia,Beauty,21.41,7,0.3,,Completed,3.0,104.91
ORD-10637,2022-08-01 08:00:00,53.0,Male,Brazil,Sports,52.65,11,0.0,PayPal,Completed,,579.15
ORD-10146,2022-02-18 16:00:00,43.0,Male,Canada,Clothing,172.28,10,0.02,,Completed,5.0,1688.34
ORD-10709,2022-08-25 08:00:00,61.0,Female,India,Toys,35.63,12,0.06,Credit Card,Completed,,401.91
ORD-10890,2022-10-24 16:00:00,68.0,Male,Brazil,Electronics,80.02,8,0.07,Debit Card,Completed,3.0,595.35
ORD-10113,2022-02-07 16:00:00,25.0,Female,Australia,Beauty,116.95,4,0.06,Bank Transfer,Cancelled,4.0,439.73
ORD-10144,2022-02-18 00:00:00,18.0,Female,Canada,Beauty,155.78,5,0.18,PayPal,Completed,2.0,638.7
ORD-10838,2022-10-07 08:00:00,27.0,Other,Brazil,Sports,37.91,13,0.24,Bank Transfer,Completed,5.0,374.55
ORD-10904,2022-10-29 08:00:00,27.0,Male,Brazil,Toys,170.3,6,0.27,Debit Card,Completed,4.0,745.91
ORD-10518,2022-06-22 16:00:00,47.0,Male,Canada,Home & Garden,115.64,13,0.28,Debit Card,Completed,4.0,1082.39
ORD-10525,2022-06-25 00:00:00,,Other,USA,Toys,38.97,2,0.12,Bank Transfer,Completed,,68.59
ORD-10530,2022-06-26 16:00:00,50.0,Female,USA,Books,176.33,7,0.02,PayPal,Completed,3.0,1209.62
ORD-10778,2022-09-17 08:00:00,54.0,,Canada,Electronics,143.61,5,0.01,Credit Card,Pending,4.0,710.87
ORD-11134,2023-01-14 00:00:00,61.0,Female,UK,Books,22.25,12,0.07,Credit Card,Completed,5.0,248.31
ORD-10369,2022-05-04 00:00:00,36.0,Male,Brazil,Sports,111.31,11,0.25,Bank Transfer,Completed,,918.31
ORD-10864,2022-10-16 00:00:00,18.0,Female,USA,Electronics,37.47,13,0.08,PayPal,Completed,2.0,448.14
ORD-10512,2022-06-20 16:00:00,46.0,Other,Canada,Toys,107.38,4,0.36,Credit Card,Completed,5.0,274.89
ORD-10201,2022-03-09 00:00:00,25.0,Female,France,Clothing,39.94,-6,0.37,Debit Card,Pending,5.0,-150.97
ORD-10407,2022-05-16 16:00:00,39.0,Male,Brazil,Electronics,196.49,3,0.39,,Pending,4.0,359.58
ORD-11066,2022-12-22 08:00:00,23.0,Female,France,Clothing,29.17,1,0.24,Bank Transfer,Refunded,1.0,22.17
ORD-10926,2022-11-05 16:00:00,25.0,Male,Australia,Sports,220.92,12,0.12,Credit Card,Completed,4.0,2332.92
ORD-10143,2022-02-17 16:00:00,20.0,Female,Brazil,Food & Beverage,111.52,2,0.07,PayPal,Completed,4.0,207.43
ORD-10654,2022-08-07 00:00:00,42.0,Other,Australia,Sports,67.11,12,0.36,PayPal,Completed,5.0,515.4
ORD-10199,2022-03-08 08:00:00,56.0,Female,Canada,Books,122.89,14,0.12,Debit Card,Completed,5.0,1514.0
ORD-10675,2022-08-14 00:00:00,26.0,Other,Australia,Sports,64.01,2,0.19,Crypto,Cancelled,5.0,103.7
ORD-11182,2023-01-30 00:00:00,19.0,Male,India,Sports,85.96,8,0.14,Crypto,Refunded,1.0,591.4
ORD-10672,2022-08-13 00:00:00,35.0,Other,Germany,Books,294.24,4,0.15,PayPal,Completed,5.0,1000.42
ORD-10299,2022-04-10 16:00:00,54.0,Other,UK,Sports,9.33,2,0.22,Bank Transfer,Refunded,4.0,14.55
ORD-10942,2022-11-11 00:00:00,35.0,Other,Australia,toys,11.67,1,0.08,Bank Transfer,Completed,,10.74
ORD-10213,2022-03-13 00:00:00,41.0,Male,Canada,Beauty,45.42,10,0.1,PayPal,Pending,4.0,408.78
ORD-11121,2023-01-09 16:00:00,,Female,France,Toys,80.73,12,0.08,Crypto,Completed,5.0,891.26
ORD-10578,2022-07-12 16:00:00,19.0,Male,Germany,Electronics,59.38,12,0.07,PayPal,Completed,4.0,662.68
ORD-10668,2022-08-11 16:00:00,40.0,Female,Australia,Sports,57.3,14,0.22,PayPal,Completed,,625.72
ORD-10908,2022-10-30 16:00:00,37.0,Other,Brazil,Electronics,71.88,3,0.06,Crypto,Completed,1.0,202.7
ORD-10317,2022-04-16 16:00:00,55.0,Female,Australia,Beauty,197.94,14,0.28,Crypto,Completed,1.0,1995.24
ORD-10223,2022-03-16 08:00:00,66.0,Other,UK,Sports,18.44,-12,0.02,Credit Card,Pending,1.0,-216.85
ORD-10855,2022-10-13 00:00:00,45.0,Female,India,Beauty,96.19,4,0.17,Crypto,Completed,5.0,319.35
ORD-10653,2022-08-06 16:00:00,29.0,Male,Canada,Electronics,70.34,13,0.32,Bank Transfer,Completed,4.0,621.81
ORD-10025,2022-01-09 08:00:00,50.0,,Canada,Beauty,105.75,6,0.26,Credit Card,Completed,5.0,469.53
ORD-10456,2022-06-02 00:00:00,32.0,Male,India,Home & Garden,64.9,9,0.18,Crypto,Pending,4.0,478.96
ORD-10301,2022-04-11 08:00:00,26.0,Male,UK,Books,8.07,12,0.07,Credit Card,Completed,1.0,90.06
ORD-11043,2022-12-14 16:00:00,23.0,Other,Germany,Home & Garden,7.9,9,0.15,PayPal,Pending,4.0,60.44
ORD-11075,2022-12-25 08:00:00,47.0,Male,Germany,Sports,58.24,10,0.39,,Completed,4.0,355.26
ORD-11030,2022-12-10 08:00:00,25.0,Other,USA,Sports,25.59,5,0.22,Debit Card,Completed,3.0,99.8
ORD-10602,2022-07-20 16:00:00,53.0,Male,Brazil,Beauty,392.61,1,0.09,Debit Card,Completed,3.0,357.28
ORD-10481,2022-06-10 08:00:00,34.0,Male,Brazil,electronics,67.69,3,0.35,PayPal,Completed,3.0,132.0
ORD-10664,2022-08-10 08:00:00,31.0,Female,Germany,Toys,13.72,9,0.15,PayPal,Completed,3.0,104.96
ORD-10383,2022-05-08 16:00:00,41.0,,Australia,Food & Beverage,194.6,4,0.16,PayPal,Refunded,4.0,653.86
ORD-11175,2023-01-27 16:00:00,40.0,Female,India,Clothing,102.11,4,0.02,,Refunded,4.0,400.27
ORD-10812,2022-09-28 16:00:00,38.0,Other,France,Toys,17.97,5,0.32,Debit Card,Completed,4.0,61.1
ORD-10351,2022-04-28 00:00:00,63.0,Male,France,Books,59.05,1,0.39,PayPal,Pending,4.0,36.02
ORD-10638,2022-08-01 16:00:00,29.0,Female,UK,Books,93.55,14,0.29,Debit Card,Completed,3.0,929.89
ORD-10478,2022-06-09 08:00:00,59.0,,USA,Electronics,105.4,14,0.29,Bank Transfer,Pending,,1047.68
ORD-10948,2022-11-13 00:00:00,18.0,Male,UK,Beauty,31.03,4,0.14,Debit Card,Completed,4.0,106.74
ORD-11052,2022-12-17 16:00:00,47.0,Male,Australia,Food & Beverage,47.5,8,0.37,Crypto,Cancelled,3.0,239.4
ORD-10101,2022-02-03 16:00:00,18.0,Female,Canada,Electronics,149.91,11,0.31,Debit Card,Pending,4.0,1137.82
ORD-10307,2022-04-13 08:00:00,,Male,France,Home & Garden,37.8,5,0.24,Credit Card,Refunded,2.0,143.64
ORD-10253,2022-03-26 08:00:00,28.0,,Brazil,Books,88.23,9,0.16,PayPal,Completed,4.0,667.02
ORD-10951,2022-11-14 00:00:00,29.0,Other,Brazil,Clothing,6.43,10,0.13,PayPal,Completed,4.0,55.94
ORD-10500,2022-06-16 16:00:00,33.0,Other,Germany,Books,25.45,13,0.08,Credit Card,Pending,4.0,304.38
ORD-11174,2023-01-27 08:00:00,50.0,Other,Germany,Electronics,25.44,4,0.02,Credit Card,Completed,3.0,99.72
ORD-10177,2022-03-01 00:00:00,45.0,Other,India,Beauty,189.67,2,0.26,Debit Card,Completed,4.0,280.71
ORD-11163,2023-01-23 16:00:00,59.0,,USA,Home & Garden,5.15,13,0.04,Credit Card,Pending,3.0,64.27
ORD-11186,2023-01-31 08:00:00,68.0,Other,Australia,Food & Beverage,326.25,1,0.14,,Completed,4.0,280.58
ORD-10662,2022-08-09 16:00:00,59.0,Male,Australia,Beauty,20.88,5,0.26,Crypto,Completed,4.0,77.26
ORD-10171,2022-02-27 00:00:00,,Female,Brazil,Books,101.01,10,0.39,Credit Card,Pending,3.0,616.16
ORD-10266,2022-03-30 16:00:00,20.0,Female,Germany,Toys,14.8,3,0.05,PayPal,Completed,4.0,42.18
ORD-10053,2022-01-18 16:00:00,43.0,,Brazil,Beauty,26.53,7,0.17,Crypto,Completed,4.0,154.14
ORD-10646,2022-08-04 08:00:00,48.0,,Germany,Home & Garden,79.42,12,0.18,Credit Card,Pending,3.0,781.49
ORD-10534,2022-06-28 00:00:00,27.0,Other,India,HOME & GARDEN,36.1,12,0.31,Debit Card,Completed,3.0,298.91
ORD-10835,2022-10-06 08:00:00,54.0,Male,USA,Food & Beverage,38.37,10,0.07,Credit Card,Completed,,356.84
ORD-10034,2022-01-12 08:00:00,33.0,Male,Brazil,Home & Garden,199.3,10,0.3,Debit Card,Completed,4.0,1395.1
ORD-10295,2022-04-09 08:00:00,18.0,Female,USA,sports,43.76,5,0.16,PayPal,Completed,1.0,183.79
ORD-11087,2022-12-29 08:00:00,23.0,Female,Australia,Clothing,19.3,7,0.33,PayPal,Completed,,90.52
ORD-10950,2022-11-13 16:00:00,58.0,Female,Canada,Food & Beverage,5.03,7,0.16,,Completed,4.0,29.58
ORD-10707,2022-08-24 16:00:00,48.0,Female,UK,Food & Beverage,18.88,9,0.23,PayPal,Completed,4.0,130.84
